alpha,n_nonzero_coef,n_zero_coef,MAE,RMSE,MAPE,R2
7.316807143427193,23,4,2175.7252278462806,2868.050971725878,8.058904791772111,0.7981376931640309
8.026433522257173,23,4,2175.604219475767,2868.40201484434,8.06100263190652,0.7980882751368832
8.804883581643464,23,4,2175.4995779765513,2868.8122222197894,8.063482583739686,0.798030520609652
9.658832241158708,23,4,2175.420341328006,2869.283168441058,8.06650899319209,0.7979642042647821
10.59560179277617,22,5,2175.416705099227,2869.885975392016,8.070322489389913,0.7978793040523411
11.623224686798519,22,5,2175.4638519819737,2870.606641233081,8.07482141155261,0.7977777810153
12.75051240713013,22,5,2175.5684495353635,2871.4411146351067,8.08022460991578,0.7976601936120367
13.987131026472387,21,6,2175.6520820591204,2872.3339261412957,8.086366658525034,0.7975343478190241
15.343684089300131,21,6,2175.6039687135776,2873.23957688191,8.092415280289055,0.7974066523073678
16.831803533309582,22,5,2175.61876565838,2874.3156849050847,8.099375309986028,0.7972548702182696
18.464249428955426,22,5,2175.708646765047,2875.592430453191,8.107287947939529,0.7970747150366226
20.255019392306664,22,5,2175.8751514522623,2877.081787682175,8.116249213520808,0.7968644581841391
22.21946860939524,22,5,2176.1020282314166,2878.8098747564914,8.126220066478975,0.7966203627061801
24.37444150122222,22,5,2176.390870699593,2880.7509274502513,8.137022400200019,0.7963460106662196
26.738416158399495,22,5,2176.7917001093683,2883.0107537704557,8.14919271943815,0.7960263695938526
29.331662783900423,22,5,2177.332832126436,2885.6604421193038,8.162973240580099,0.7956512652592491
32.176417502507356,22,5,2178.0906594711437,2888.768586845352,8.178695851919034,0.7952108201601332
35.2970730273065,21,6,2179.3261618089,2892.532108863651,8.199037506519923,0.7946768690169875
38.72038781812557,20,7,2180.749628814522,2896.527243936231,8.221071899095158,0.7941092970064416
42.475715525369026,20,7,2182.3534754465395,2900.9633365303766,8.24475569607745,0.7934781621657553
46.59525668664677,19,8,2184.1632006392956,2906.0256360032436,8.27080291597282,0.7927567551929406
51.11433483440165,19,8,2186.363620278958,2911.963311168485,8.30014916678454,0.7919089992797862
56.07169938205458,19,8,2188.999052878676,2918.9328658969666,8.332913854290474,0.7909117084116107
61.50985788580504,19,8,2192.2969011303107,2927.1798288807445,8.370239637380253,0.7897285504533951
67.475440531107,18,9,2196.203016711008,2936.7403506086325,8.41204477255921,0.7883527636356764
74.01959996915637,18,9,2200.904481512079,2947.9315498244737,8.459217248257616,0.7867366184174925
81.19844993184009,18,9,2206.695418922153,2961.2038924722488,8.513194656448245,0.7848119628038646
89.0735463861044,18,9,2213.567417044727,2976.906809964014,8.574088142161953,0.782523677667755
97.71241535346502,18,9,2221.619209593855,2995.481992372461,8.642533601852481,0.7798012104383708
107.18913192051286,18,9,2231.3622425711656,3017.4970676535536,8.72072849970814,0.7765526468861451
117.58495540521582,18,9,2243.4663567091347,3043.5257559618913,8.811209941667101,0.7726811429668731
128.9890261253308,16,11,2255.9030183547325,3070.4268110564544,8.903517830087406,0.7686449410895517
141.4991297434576,15,12,2259.921067260231,3086.8318120048266,8.955122744900061,0.7661661201479355
155.2225357427048,15,12,2262.9243707266164,3102.36710070338,8.999931814476371,0.7638065370860244
170.27691722259013,15,12,2267.416570967387,3121.0599622267596,9.05301481322379,0.7609516634247134
186.79135990207845,13,14,2274.12322302498,3143.336984278536,9.112966083056037,0.757526999925392
204.9074689815846,13,14,2283.372182487507,3169.778797562143,9.183567160357406,0.7534304666251478
224.78058335487253,13,14,2296.1462916116907,3201.2704492298767,9.269903675347713,0.748506808362168
246.5811075822604,12,15,2311.96140143124,3238.539320591352,9.371598472780128,0.7426170052038092
270.4959730463137,12,15,2332.076093578554,3282.6675884692513,9.492389280792416,0.7355550271772684
296.73024081888724,11,16,2350.664837833264,3327.98441295567,9.603496808702621,0.7282033696698653
325.50885998350566,10,17,2371.385297312746,3378.95579177317,9.724329494009364,0.7198139423252918
357.07859649004627,10,17,2396.238508860423,3437.386405557312,9.864728684422127,0.71003991982638
391.71014908092604,10,17,2427.5211864267744,3505.649418701245,10.032432695118297,0.6984089384219938
429.7004704320844,10,17,2466.5452939631878,3585.3128642915153,10.232391274743021,0.6845463042388988
471.3753134116729,10,17,2514.5593381548597,3678.065835564796,10.46944474811288,0.6680134430279187
517.0920242896756,9,18,2564.8539480571803,3771.9831694911763,10.707353602172029,0.6508428068552505
567.2426068491977,7,20,2582.2218872542385,3805.631023479076,10.770263379817083,0.6445857318412169
622.2570836730231,6,21,2601.168835045066,3833.2052781407874,10.841642538574153,0.6394166609713117
682.6071834272393,6,21,2625.826257891699,3864.3926592684634,10.93312116980501,0.6335253000198255
748.810385759003,6,21,2657.8128511737686,3901.9988368412305,11.050689095604186,0.6263579275770264
821.4343584919421,6,21,2697.914272998699,3947.207881525905,11.197026802506654,0.6176496432983148
901.1018251665018,5,22,2745.9663686878853,3999.9355617010124,11.36968025305158,0.6073663738074628
988.4959046625586,5,22,2803.1595429218532,4062.6673954134203,11.573708463377152,0.5949542883480181
1084.3659686896108,5,22,2871.6806432488333,4137.408486071844,11.816811327282412,0.579913908544649
1189.5340673703208,3,24,2947.782811032525,4221.294062107312,12.089486815059585,0.5627068093248737
1304.9019780144015,3,24,3003.9943763478336,4287.361536844356,12.286658017910321,0.5489115409526577
1431.4589375234787,3,24,3070.1287538855763,4365.854164668599,12.51783116777528,0.5322433717819548
1570.2901247293776,3,24,3147.428171243147,4458.8158851463195,12.787098292180026,0.5121115011879295
